Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curv,vel_crucero,curv_pred,control
L,0.07728934288024902,-4.0,10,30,10.967732084333148,-0.020035494583842555,0,181.2808892487214,69.34192266645856,0.013071057696331205,15.0,0.0,0
L,0.07628202438354492,-4.0,10,30,11.521141767387297,0.007100701441230719,0,181.03026491383918,28.336050451692948,0.013071057696331205,15.0,0.0,0
L,0.07812094688415527,1.5999999999999996,10,30,14.526142766782815,0.015753523537323712,0,173.22409429466177,20.190741250455442,0.013071057696331205,15.0,0.0,0
L,0.0762014389038086,1.5999999999999996,10,30,13.409701500900955,0.01465344025108761,0,177.8376227097824,24.878051382881925,0.013071057696331205,15.0,0.0,0
L,0.07691335678100586,1.5999999999999996,10,30,11.682579144650294,0.011140015724657722,0,184.42784410408973,29.923854927724477,0.013071057696331205,15.0,0.0,0
L,0.07890701293945312,1.5999999999999996,10,30,11.450467368230402,0.006525685734224875,0,186.58786764474527,37.60323110911405,0.013071057696331205,15.0,0.0,0
L,0.07914543151855469,8.6,10,30,12.281787950493095,0.0008483079141851934,0,185.49622143635264,49.45118304072678,0.013071057696331205,15.0,0.0,0
L,0.07700657844543457,8.6,10,30,12.987389913309881,-0.005283639490373827,0,184.6894984411046,64.01973874894944,0.013071057696331205,15.0,0.0,0
L,0.07658839225769043,8.6,10,30,13.204477039189822,-0.011488170535435802,0,185.32457916416035,80.47112304974334,0.013071057696331205,15.0,0.0,0
L,0.07656526565551758,10.9,10,30,13.513255077201377,-0.015321964945772303,0,185.6605570549345,91.56145017367098,0.03085830967293124,15.0,0.0,0
L,0.07690072059631348,10.9,10,30,13.468639134904999,-0.014262866105690417,0,187.06567844478715,90.54829186247,0.03085830967293124,15.0,0.0,0
L,0.07683753967285156,12.600000000000001,10,30,13.187192078841212,-0.011923918659944605,0,189.20187440863256,88.99324485861648,0.03085830967293124,15.0,0.0,0
L,0.0795736312866211,7.1,10,30,13.124438950115993,-0.009964043751926983,0,190.73298346754657,88.99006095363265,0.03085830967293124,15.0,0.0,0
L,0.07942986488342285,7.1,10,30,12.605074109651737,-0.008348579710269076,0,193.67275460206685,89.00068987307468,0.03085830967293124,15.0,0.0,0
L,0.07895159721374512,7.1,10,30,13.47112392131761,-0.005753056913495069,0,192.37958633362928,85.10140594668579,0.03085830967293124,15.0,0.0,0
L,0.07756662368774414,7.1,10,30,13.978127530785487,-0.003224352276674118,0,192.10133805781823,81.18592258327662,0.03085830967293124,15.0,0.0,0
